batter_id,season,player_name,n_pitches,n_swings,n_bbe,n_barrels,avg_launch_speed,avg_launch_angle,avg_bat_speed,avg_swing_length,n_pa,swing_pct,barrel_pct_bbe,barrel_pct_swing,woba
488726,2023,"Brantley, Michael",220,88,53,1,87.00769230769231,16.987179487179485,67.37764705882353,6.5976470588235285,57,0.4,0.018867924528301886,0.011363636363636364,0.309
500871,2023,"Escobar, Eduardo",1239,626,213,9,81.3843373493976,18.443373493975905,66.44718309859155,6.745422535211268,309,0.5052461662631155,0.04225352112676056,0.01437699680511182,0.267
502054,2023,"Pham, Tommy",1922,777,326,32,85.93817204301075,10.736559139784946,72.12617801047121,6.880366492146598,481,0.40426638917793967,0.09815950920245399,0.04118404118404118,0.332
502054,2024,"Pham, Tommy",1923,779,335,27,84.54765217391305,14.734375,71.29763779527559,6.820997375328084,479,0.4050962038481539,0.08059701492537313,0.03465982028241335,0.297
502054,2025,"Pham, Tommy",1715,729,303,20,85.0325,9.183556405353729,71.6210970464135,6.948101265822785,450,0.4250728862973761,0.066006600660066,0.027434842249657063,0.308
502110,2023,"Martinez, J.D.",1874,989,292,49,85.52545155993433,18.364532019704434,70.83216560509554,8.35796178343949,480,0.5277481323372465,0.1678082191780822,0.04954499494438827,0.369
502110,2024,"Martinez, J.D.",2054,996,295,39,83.3998435054773,19.581903276131044,70.75914438502674,8.34994652406417,495,0.48490749756572543,0.13220338983050847,0.0391566265060241,0.318
502671,2023,"Goldschmidt, Paul",2871,1252,435,54,84.79393232205366,19.102683780630105,71.00895238095238,7.488380952380952,688,0.43608498780912575,0.12413793103448276,0.04313099041533546,0.35
502671,2024,"Goldschmidt, Paul",2728,1297,428,51,84.58418708240535,18.602449888641427,71.17442810457516,7.706290849673203,656,0.47543988269794724,0.1191588785046729,0.03932151117964534,0.31
502671,2025,"Goldschmidt, Paul",2109,999,391,39,85.0076510067114,23.041610738255034,71.37892603850051,7.516008105369807,534,0.47368421052631576,0.09974424552429667,0.03903903903903904,0.316
514888,2023,"Altuve, Jose",1561,702,290,25,80.64666666666666,10.613678373382625,68.51950672645741,7.656502242152467,410,0.4497117232543241,0.08620689655172414,0.03561253561253561,0.393
514888,2024,"Altuve, Jose",2461,1263,509,33,80.97609649122806,14.643326039387308,66.70167253521127,7.6781690140845065,683,0.5132060138155221,0.06483300589390963,0.026128266033254157,0.344
514888,2025,"Altuve, Jose",2334,1156,486,31,80.8527972027972,17.462790697674418,66.68474885844749,7.415799086757991,654,0.4952870608397601,0.06378600823045268,0.026816608996539794,0.331
516782,2023,"Marte, Starling",1275,683,248,12,81.57254901960785,8.468409586056644,66.90357142857142,7.2,341,0.5356862745098039,0.04838709677419355,0.017569546120058566,0.278
516782,2024,"Marte, Starling",1423,712,259,15,81.61125,9.24375,69.64403100775193,7.090387596899225,370,0.500351370344343,0.05791505791505792,0.021067415730337078,0.313
516782,2025,"Marte, Starling",1256,624,230,19,81.05990566037737,13.334905660377359,70.0777049180328,7.112786885245902,329,0.4968152866242038,0.08260869565217391,0.030448717948717948,0.326
518595,2023,"d'Arnaud, Travis",1118,580,201,19,83.71658163265306,16.40203562340967,71.42363636363636,7.618181818181818,292,0.518783542039356,0.0945273631840796,0.032758620689655175,0.297
518595,2024,"d'Arnaud, Travis",1355,686,222,25,83.61999999999999,16.610091743119266,70.03057432432432,7.715202702702702,341,0.5062730627306273,0.11261261261261261,0.03644314868804665,0.319
518595,2025,"d'Arnaud, Travis",873,473,140,20,82.63071895424837,19.522875816993466,68.7674672489083,7.637991266375545,231,0.5418098510882016,0.14285714285714285,0.042283298097251586,0.263
